depth,substrate,conc,mass bottle,mass filled,mass sample g
4,5: ala-ala-phe-AMC,300,11.7,12.16,0.46
4,6: boc-val-pro-arg-AMC,0,11.7,12.16,0.46
4,6: boc-val-pro-arg-AMC,25,11.67,12.9,1.23
4,6: boc-val-pro-arg-AMC,50,11.81,12.32,0.51
4,6: boc-val-pro-arg-AMC,75,11.65,12.37,0.72
4,6: boc-val-pro-arg-AMC,100,11.8,12.42,0.62
4,6: boc-val-pro-arg-AMC,200,15.18,15.79,0.61
4,6: boc-val-pro-arg-AMC,300,11.64,12.21,0.57
5,1: arg-AMC,0,15.22,15.91,0.69
5,1: arg-AMC,25,15.26,15.91,0.65
5,1: arg-AMC,50,14.72,15.39,0.67
5,1: arg-AMC,75,14.9,15.56,0.66
5,1: arg-AMC,100,14.74,15.72,0.98
5,1: arg-AMC,200,14.9,15.45,0.55
5,1: arg-AMC,300,14.76,15.37,0.61
5,1: arg-AMC,400.1,14.89,15.5,0.61
5,1: arg-AMC,400.2,14.8,15.31,0.51
5,1: arg-AMC,400.3,14.73,15.33,0.6
5,2: gly-AMC,0,11.72,12.32,0.6
5,2: gly-AMC,25,11.7,12.34,0.64
5,2: gly-AMC,50,11.75,12.4,0.65
5,2: gly-AMC,75,11.83,12.49,0.66
5,2: gly-AMC,100,11.66,12.28,0.62
5,2: gly-AMC,200,14.68,15.29,0.61
5,2: gly-AMC,300,14.67,15.48,0.81
5,2: gly-AMC,400.1,14.3,15.3,1
5,2: gly-AMC,400.2,14.88,15.37,0.49
5,2: gly-AMC,400.3,14.67,15.22,0.55
5,3: leu-AMC,0,11.96,12.48,0.52
5,3: leu-AMC,25,11.76,12.47,0.71
5,3: leu-AMC,50,11.86,12.41,0.55
5,3: leu-AMC,75,11.95,12.6,0.65
5,3: leu-AMC,100,11.65,12.25,0.6
5,3: leu-AMC,200,14.74,15.35,0.61
5,3: leu-AMC,300,14.77,15.22,0.45
5,3: leu-AMC,400.1,14.69,15.21,0.52
5,3: leu-AMC,400.2,14.71,15.33,0.62
5,3: leu-AMC,400.3,14.82,15.47,0.65
5,4: gly-gly-arg-AMC,0,11.65,12.46,0.81
5,4: gly-gly-arg-AMC,25,11.83,12.54,0.71
5,4: gly-gly-arg-AMC,50,11.83,12.44,0.61
5,4: gly-gly-arg-AMC,75,11.85,12.46,0.61
5,4: gly-gly-arg-AMC,100,11.84,12.39,0.55
5,4: gly-gly-arg-AMC,200,14.82,15.36,0.54
5,4: gly-gly-arg-AMC,300,14.68,15.37,0.69
5,4: gly-gly-arg-AMC,400.1,12.27,15.34,3.07
5,4: gly-gly-arg-AMC,400.2,14.7,15.29,0.59
5,4: gly-gly-arg-AMC,400.3,14.8,15.53,0.73
5,5: ala-ala-phe-AMC,0,14.73,15.39,0.66
5,5: ala-ala-phe-AMC,25,14.74,15.26,0.52
5,5: ala-ala-phe-AMC,50,14.68,15.75,1.07
5,5: ala-ala-phe-AMC,75,14.71,15.31,0.6
5,5: ala-ala-phe-AMC,100,14.77,15.41,0.64
5,5: ala-ala-phe-AMC,200,14.69,15.38,0.69
5,5: ala-ala-phe-AMC,300,14.69,15.38,0.69
5,6: boc-val-pro-arg-AMC,0,14.72,15.21,0.49
5,6: boc-val-pro-arg-AMC,25,14.82,15.37,0.55
5,6: boc-val-pro-arg-AMC,50,14.59,15.21,0.62
5,6: boc-val-pro-arg-AMC,75,14.74,15.3,0.56
5,6: boc-val-pro-arg-AMC,100,14.85,15.59,0.74
5,6: boc-val-pro-arg-AMC,200,14.34,15.15,0.81
5,6: boc-val-pro-arg-AMC,300,14.89,15.46,0.57
